report,part failure
MECHANICAL / LANDING GEAR GND FAIL MSG AFTER TAKEOFF EMERGENCY DECLARED- BRAKE OVERHEAT CAUTION MESSAGE. ERRATIC RT INBOARD - PEGGED AT MAX TEMP -MEL 3203 AUTH 060159DM-C AML 4764592 ITEM 1.-C/A-TROUBLESHOT RH MLG BRAKE TEMP INDICATION HARNESS IAW SWPM 20-20-03. NO TIME TO FIX. UPDATED KVA. MEL CONTINUES. M PROCEDURES RE-COMPLIED WITH.,RT MLG BRAKE DAMAGED
"THE NOSE LANDING GEAR DID NOT EXTEND FULLY DURING APPROACH AS WAS SEEN BY THE INSPECTION MIRROR.  THE PILOT ABORTED THE APPROACH AND IN TROUBLESHOOTING EXTENDED THE LANDING GEAR TO THE FULLY LOCKED POSITION WITH THE MANUAL EXTENSION HAND PUMP.  THE LANDING GEAR HANDLE RETURNED TO NEUTRAL.  THE PILOT STATED THAT USING NORMAL PROCEDURES, THE NOSE GEAR DID NOT EXTEND OR RETRACT AND THE GEAR HANDLE DID NOT RETURN TO NEUTRAL.  THE LANDING WAS UNEVENTFUL.  THE PLANE WAS REPOSITIONED WITH THE LANDING GEAR DOWN TO THE MAIN MAINTENANCE FACILITY.  IN MAINTENANCE THE CONDITION COULD NOT BE REPRODUCED.  THE LANDING GEAR WAS CHECKED FOR PROPER SERVICIGN AND INSPECTED WITH NO DEFECTS NOTED.  THE AICRAFT WAS SENT FOR FLIGHT E",ZONE 700 MALFUNCTIONED
THE LEFT SIDE HYDRAULIC SYSTEM FILTER BOWL ASSEMBLY SEPARATED FROM THE UPPER FILTER HOUSING DUE TO A FAILURE IN THE THREAD PORTION OF THE FILTER BOWL.  NO STRESS ON THE BOWL COULD BE DETECTED AND THE REASON FOR THE FAILURE REMIANS UNKNOWN.  FAILURE OF THE BOWL CAUSED A TOTAL LOSS OF HYDRAULIC FLUID INCLUDING THE RESERVE/EMGERGENCY PUMP SUPPLY.  AT THIS TIME NO REASON HAS BEEN FOUND FOR THE LOSS OF FLUID IN THE EMERGENCY EXTENSION SYSTEM.  THE NOSE LANDING GEAR FAILED TO LOCK IN THE DOWN POSITION DUE TO LOSS OF FLUID IN THE PRIMARY AND BACKUP/EMERGENCY SYSTEMS.  INVESTIGATION FOR THE CAUSE OF THE EMERGENCY SYSTEM LOSS IS ON GOING. TOTAL TIME AND TOTAL CYCLES OF THE PART THAT FAILED IS NOT TRACKED.,HYD FILTER FAILED
"AIRCRAFT WAS ON ROLLOUT DURING A NORMAL LANDING.  THE LANDING GEAR INDICATED DOWN AND LOCKED.  THE LANDING GEAR HANDLE HAD RETURNED TO NEUTRAL DURING THE LANDING GEAR EXTENSION PHASE.  DURING ROLLOUT, THE LEFT MAIN LANDING GEAR COLLAPSED AND THE AIRCRAFT VEERED OFF THE RUNWAY.  THE AIRCRAFT ROLLED INTO THE GRASS/DIRT AREA OFF THE RUNWAY DURING WHICH THE NOSE LANDING GEAR COLLAPSED.  THE AIRCRAFT WAS REMOVED FROM THE RUNWAY AND RETURNED TO THE CARRIERS MAINTENANCE FACILITY.  THE AIRCRAFT WAS PLACED ON JACKS AND INSPECTED.  THERE WAS NO VISIBLE DAMAGE TO THE RETRACT/EXTENSION SYSTEM OR THE LANDING GEARS THEMSELVES.  IT WAS DETERMINED THAT THE INNER LANDING GEAR DOORS WERE OPEN AT THE TIME OF THE LEFT LANDING GEAR",LEFT COLLAPSED
UPON TAKEOFF ROLL BUT PRIOR TO REACHING 80 KNOTS THE PILOTS RECEIVED A RED SPOILER CONFIG EICAS MESSAGE AND HAD TO REJECT THE TAKEOFF AND RETURN TO THE FBO.,ZONE 600 CRACKED
FAILURE OF THE #1 ENGINE HP FUEL PUMP DRIVE COUPLING,NR 1 FUEL PUMP FAILED
75 AMP EMERGENCY BATTERY CIRCUIT BREAKER ON COCKPIT OVERHEAD PANEL POPPED.  THIS CAUSED LOSS OF POWER TO SYSTEMS TO INCLUDE PRESSURIZATION CONTROL. NO SIGNS OF ARCING OR OVER HEATING PRESENT. VENDOR INSPECTED 75 AMP BATT CIRCUIT BREAKER LOCATED ON COCKPIT OVERHEAD AND NOTICED BREAKER TO HAVE A BLACK COLLAR ON THE BREAKER. THIS COLLAR IS THICKER THAN THE COLLAR OF THE ADJACENT L MAIN CIRCUIT BREAKER AND VENDOR BELIEVES IT DOES NOT ALLOW THE BATT CIRCUIT BREAKER TO FULLY ENGAGE OR RESET.  WE HAD THE BREAKER REPLACED WITH NEW AND THE COLLAR WAS REMOVED.,EMER BATTERY FAILED
"CREW SMELLED AN ODOR, TOOK ACTIONS TO ISOLATE SOURCE, ODOR CONTINUED FOLLOWED BY SMOKE IN THE REAR CABIN BAGGAGE AREA.  SWITCH TO EMERGENCY BUSS AND PUT ON O2 MASKS, DECLARED AN EMERGENCY AND CONTINUED TO LOAD SHED ITEMS UNTIL SMOKE SUBSIDED.  LANDED SAFELY AT KJAN.  MAINTENANCE FOUND DAMAGED WIRING AT THE RH AUX HEATING ELEMENT.  THE INSULATION THAT WAS ABOVE THE RH AUX HEATING ELEMENT WAS DAMAGED WHICH WAS THE CAUSE OF THE SMOKE/SMELL IN THE AIRCRAFT.  MAINTENANCE FOUND OVERHEATED RH AUX HEATER TO BE SOURCE OF SMOKE/ODOR.",REAR CABIN BAGGA BURNED OUT
"PER PILOT REPORT:  DURING CLIMB(THRU FL360) LEFT SIDE WINDOW SHATTERED.  CREW REQUESTED DESCENT, COMPLIED WITH CHECKLISTS AND DIVERTED TO ROC.",ZONE 200 BROKEN
"ENROUTE FROM LSGG-RJAA WITH 4 CREW ON BOARD AND 0 PAX. FL 430 OVER RUSSIA AT TIME 2000Z WE HAD 2 AMBER CAS MESSAGES, L ELEVATOR FAIL AND FCS MAINTENANCE REQUIRED.   WE DECLARED A PAN AND AFTER RUNNING CHECKLIST CONCLUDED TO DIVERT FOR LANDING. OUR ALTERNATE UERR DENIED THE LANDING, WE ASKED FOR UIBB AND WERE ADVISED CLOSED. THE CONTROLLER SUGGESTED UNKL AND WE PROCEEDED RIGHT TURN DIRECT AS INSTRUCTED BY HIM.  ENROUTE UNKL DECLARED AN EMERGENCY MAYDAY AND TRANSPONDER 7700.  ON DESCENT LEVELED AT FLIGHT LEVEL 090 (9000?) AND RAN THE LANDING CONTROLLABILITY CHECK AS PER THE CHECK LIST.  CONTINUED TO LAND SAFELY ILS Z RUNWAY 11.  WEATHER AT THE FIELD 2130Z 130/2MPS 9000 NSC -29/-32 1034",LT ELEVATOR ILLUMINATED
